"index" "Country" "Year" "Avg.Length.Stay" "Business.Professional.Purpose" "Num.Bed.Places" "Num.Establishments" "Num.Rooms" "Occupancy.Rate.Beds" "Occupancy.Rate.Rooms" "Personal.Purpose" "Total.Arrivals"
32 "ARGENTINA" "2011" 2.35 509 603473 13398 233520 34.03 43.37 2243 2752
33 "ARGENTINA" "2012" 2.37 450 611439 13526 236641 32.3 41.04 2173 2623
34 "ARGENTINA" "2013" 2.36 476 667608 14907 252671 32.34 41.55 1957 2433
35 "ARGENTINA" "2014" 2.4 511 683454 15591 258129 33.46 42.64 2010 2521
36 "ARGENTINA" "2015" 2.39 525 691272 15754 261004 33.51 42.77 1827 2352
37 "ARGENTINA" "2016" 2.37 477 688059 15195 259453 32.68 42.01 1837 2315
38 "ARGENTINA" "2017" 2.3 560 703207 15615 264741 34.55 44.14 1873 2432
39 "ARGENTINA" "2018" 2.35 662 711101 15717 268199 35.04 44.81 2017 2680
40 "ARGENTINA" "2019" 2.33 588 724841 15934 271577 35.4 45.18 2332 2920
41 "AUSTRALIA" "2010" 2.3 1360 640454 4279 227320 41.4 66.3 4431 5791
42 "AUSTRALIA" "2011" 2.3 1420 636002 4216 226557 41.8 67.3 4351 5771
43 "AUSTRALIA" "2012" 2.3 1455 631351 4233 227168 38 63.1 4577 6032
44 "AUSTRALIA" "2013" 2.2 1443 632257 4237 230064 37.7 62 5038 6482
45 "AUSTRALIA" "2014" NA 1486 635130 4204 229646 37.6 61.5 5435 6922
46 "AUSTRALIA" "2015" NA 1580 678361 4464 248573 38.6 62.4 5870 7449
47 "AUSTRALIA" "2016" NA 1599 676638 4445 249131 39.4 63.9 6670 8269
48 "AUSTRALIA" "2017" NA 1744 NA 5189 274953 NA 75.2 7072 8815
49 "AUSTRALIA" "2018" NA 1806 NA 5256 284680 NA 76 7440 9246
50 "AUSTRALIA" "2019" NA 1842 NA 5637 296452 NA 73.8 7624 9466
51 "AUSTRIA" "2010" 3.6 NA 589293 13461 290287 30.3 NA NA NA
52 "AUSTRIA" "2011" 3.64 NA 594357 13359 290509 31 NA NA NA
53 "AUSTRIA" "2012" 3.62 NA 594841 13203 292165 31.6 NA NA NA
54 "AUSTRIA" "2013" 3.6 NA 601483 13073 293702 31.9 NA NA NA
55 "AUSTRIA" "2014" 3.52 NA 598742 12839 291753 31.5 NA NA NA
56 "AUSTRIA" "2015" 3.43 NA 600342 12625 291974 32.25 NA NA NA
57 "AUSTRIA" "2016" 3.4 NA 601945 12366 291497 33.28 NA NA NA
58 "AUSTRIA" "2017" 3.35 NA 609393 12153 291046 33.89 NA NA NA
59 "AUSTRIA" "2018" 3.34 NA 615541 12003 292458 35.57 NA NA NA
60 "AUSTRIA" "2019" 3.31 NA 607010 11823 290878 36.53 NA NA NA
61 "AZERBAIJAN" "2010" 3.1 548 30793 499 14158 12 NA 1415 1963
62 "AZERBAIJAN" "2011" 2.9 592 31979 508 14815 13 NA 1647 2239
63 "AZERBAIJAN" "2012" 2.63 595 32834 514 15898 14 NA 1889 2484
64 "AZERBAIJAN" "2013" 2.52 649 33951 530 16559 14 NA 1860 2509
65 "AZERBAIJAN" "2014" 2.51 670 35652 535 17363 13 NA 1627 2298
66 "AZERBAIJAN" "2015" 1.96 632 37278 536 17953 12 NA 1374 2006
67 "AZERBAIJAN" "2016" 1.89 692 40042 548 19919 15 NA 1557 2249
68 "AZERBAIJAN" "2017" 1.83 834 41611 563 20778 17 NA 1862 2697
69 "AZERBAIJAN" "2018" 1.72 787 46693 596 22192 18 NA 2062 2850
70 "AZERBAIJAN" "2019" 1.74 851 49980 642 23865 18 NA 2320 3170
71 "BAHAMAS" "2010" NA 75 30472 280 15236 NA 51.5 1303 1378
72 "BAHAMAS" "2011" NA 93 30306 286 15153 NA 53.7 1262 1355
73 "BAHAMAS" "2012" NA 100 29386 277 14693 NA 57.3 1331 1431
74 "BAHAMAS" "2013" NA 99 29672 312 14836 NA 51.9 1278 1377
75 "BAHAMAS" "2014" NA 90 30600 316 15300 NA 56 1354 1444
76 "BAHAMAS" "2015" NA 107 29454 304 14727 NA 58.64 1390 1496
77 "BAHAMAS" "2016" NA 107 29608 313 14804 NA 57.94 1392 1499
78 "BAHAMAS" "2017" NA 87 32268 308 16134 NA 56.07 1365 1452
79 "BAHAMAS" "2018" NA 102 34056 310 17028 NA 57.36 1531 1633
80 "BAHAMAS" "2019" NA 111 35254 322 17627 NA 61.64 1696 1807
81 "BAHRAIN" "2010" 1.8 NA NA 100 8381 NA NA NA NA
82 "BAHRAIN" "2011" 1.89 650 13315 101 10694 NA 33.4 6082 6732
83 "BAHRAIN" "2012" 1.59 NA 14298 104 11848 NA 39 NA NA
84 "BAHRAIN" "2013" 1.55 NA 15501 106 13369 NA 41 NA NA
85 "BAHRAIN" "2014" 1.47 NA 17949 109 13250 NA 45 NA NA
86 "BAHRAIN" "2015" 1.75 2394 20153 111 13823 NA 46 7276 9670
87 "BAHRAIN" "2016" 1.69 1526 21181 116 14928 NA 40 8632 10158
88 "BAHRAIN" "2017" 1.98 677 23403 113 16573 NA 44 10697 11374
89 "BAHRAIN" "2018" 1.95 824 25712 130 18033 NA 45 11221 12045
90 "BAHRAIN" "2019" 2.02 895 25846 134 18660 NA 49 10166 11061
91 "BELARUS" "2010" 2.69 372 26673 363 15200 45.17 79.27 5302 5674
92 "BELARUS" "2011" 2.52 413 28957 451 15907 41.45 75.45 5464 5877
93 "BELARUS" "2012" 2.47 407 28452 477 15786 43.45 78.31 5723 6130
94 "BELARUS" "2013" 2.5 376 29908 487 16613 41.39 74.51 5866 6242
95 "BELARUS" "2014" 2.54 349 35424 536 19545 34.12 61.83 5026 5375
96 "BELARUS" "2015" 2.41 281 36951 547 20157 28.74 52.68 4105 4386
97 "BELARUS" "2016" 2.25 2756 38613 584 20621 27.15 50.85 8179 10935
98 "BELARUS" "2017" 2.24 2787 38632 601 20810 28.64 53.16 8273 11060
99 "BELARUS" "2018" 2.15 2668 38444 604 20590 30.79 57.48 8833 11502
100 "BELARUS" "2019" 2.2 2893 38913 615 20585 32.25 60.96 8939 11832
101 "BELGIUM" "2010" NA 2407 175247 2196 70932 NA NA 4779 7186
102 "BELGIUM" "2011" NA 2608 174545 2149 70531 NA NA 4886 7494
103 "BELGIUM" "2012" NA 2788 176693 3216 72379 NA NA 4772 7560
104 "BELGIUM" "2013" NA 2838 181231 3398 73886 NA NA 4846 7684
105 "BELGIUM" "2014" NA 2842 211419 3987 79089 NA NA 5045 7887
106 "BELGIUM" "2015" NA 2905 189838 3830 75378 NA NA 5450 8355
107 "BELGIUM" "2016" NA 2672 190515 3953 76440 NA NA 4810 7481
108 "BELGIUM" "2017" NA 2940 191254 4099 76941 NA NA 5444 8385
109 "BELGIUM" "2018" NA 3070 199265 4170 78954 NA NA 6048 9119
110 "BELGIUM" "2019" NA 3148 201153 4077 79469 NA NA 6195 9343
111 "BRAZIL" "2010" NA 2406 NA NA NA NA NA 7918 10324
112 "BRAZIL" "2011" NA 2782 925598 9963 396804 NA NA 8084 10866
113 "BRAZIL" "2012" NA 2862 NA NA NA NA NA 8492 11354
114 "BRAZIL" "2013" NA 3046 NA NA NA NA NA 8580 11626
115 "BRAZIL" "2014" NA 2816 NA NA NA NA NA 10044 12860
116 "BRAZIL" "2015" NA 2548 NA NA NA NA NA 10064 12612
117 "BRAZIL" "2016" NA 2448 2407892 31299 1011254 NA NA 10644 13094
118 "BRAZIL" "2017" NA 2056 NA NA NA NA NA 11122 13178
119 "BRAZIL" "2018" NA 1788 NA NA NA NA NA 11456 13242
120 "BRAZIL" "2019" NA 1956 NA NA NA NA NA 10750 12706
121 "BRUNEI DARUSSALAM" "2010" NA 45 NA NA 2842 NA NA 169 214
122 "BRUNEI DARUSSALAM" "2011" NA 47 NA NA 2845 NA NA 195 242
123 "BRUNEI DARUSSALAM" "2012" NA 52 4207 47 3143 NA NA 157 209
124 "BRUNEI DARUSSALAM" "2013" NA 62 4648 54 3364 NA NA 163 225
125 "BRUNEI DARUSSALAM" "2014" NA 52 5107 69 3678 NA NA 149 201
126 "BRUNEI DARUSSALAM" "2015" NA 49 5297 74 3680 NA NA 169 218
127 "BRUNEI DARUSSALAM" "2016" 2.2 45 6044 83 4311 NA NA 174 219
128 "BRUNEI DARUSSALAM" "2017" 2.21 43 6226 87 4455 NA 37.2 216 259
129 "BRUNEI DARUSSALAM" "2018" 2.33 44 6604 89 4586 NA 34.1 234 278
130 "BRUNEI DARUSSALAM" "2019" 2.34 44 7227 89 4585 NA 38 290 333
131 "BULGARIA" "2010" 3.7 934 245442 1823 111218 28.1 NA 7440 8374
132 "BULGARIA" "2011" 3.73 972 241665 1862 110564 20.7 NA 7741 8713
133 "BULGARIA" "2012" 3.71 1041 261159 1936 118752 38.7 49.6 7826 8867
134 "BULGARIA" "2013" 3.71 1026 262196 2055 118107 39.55 52.1 8166 9192
135 "BULGARIA" "2014" 3.7 1217 271526 2166 123274 35.31 49.4 8191 9409
136 "BULGARIA" "2015" 3.4 1192 279100 2180 124568 37 48.7 8126 9318
137 "BULGARIA" "2016" 3.5 1421 281869 2158 123025 41.5 55.2 9183 10604
138 "BULGARIA" "2017" 3.52 1562 293494 2110 123420 42 57.1 10034 11596
139 "BULGARIA" "2018" 3.47 1728 286219 2102 124148 42.3 58.1 10641 12368
140 "BULGARIA" "2019" 3.33 1761 288027 2166 127052 42.1 57.7 10791 12552
141 "CAMBODIA" "2010" NA 141 67514 1527 39714 65.74 NA 2367 2508
142 "CAMBODIA" "2011" NA 143 73501 1618 43236 66.15 NA 2739 2882
143 "CAMBODIA" "2012" NA 168 84852 1863 49913 68.49 NA 3416 3584
144 "CAMBODIA" "2013" NA 185 87079 2007 51223 69.53 NA 4025 4210
145 "CAMBODIA" "2014" NA 206 88375 2117 51985 67.55 NA 4297 4503
146 "CAMBODIA" "2015" NA 300 107574 2897 63279 70.2 NA 4476 4775
147 "CAMBODIA" "2016" NA 342 121066 2930 72623 68.9 NA 4670 5012
148 "CAMBODIA" "2017" NA 373 134201 3136 74556 71.3 NA 5229 5602
149 "CAMBODIA" "2018" NA 687 142688 3083 81536 72.2 NA 5514 6201
150 "CAMBODIA" "2019" NA 1371 143698 3755 84528 63.5 NA 5239 6611
151 "CAYMAN ISLANDS" "2010" 6.25 17 NA NA 4587 NA 68.2 272 289
152 "CAYMAN ISLANDS" "2011" 6.25 18 NA NA 4974 NA NA 291 309
153 "CAYMAN ISLANDS" "2012" 6.27 20 NA NA 4923 NA NA 302 322
154 "CAYMAN ISLANDS" "2013" 6.14 20 15010 400 5248 NA NA 325 345
155 "CAYMAN ISLANDS" "2014" 6.1 19 15130 420 5264 NA NA 364 383
156 "CAYMAN ISLANDS" "2015" 6.26 19 14977 501 5515 NA NA 367 385
157 "CAYMAN ISLANDS" "2016" 6.16 21 17231 532 5905 NA NA 364 385
158 "CAYMAN ISLANDS" "2017" 6.16 24 18067 585 6196 NA NA 395 418
159 "CAYMAN ISLANDS" "2018" 6.07 27 19957 NA 6780 NA NA 436 463
160 "CAYMAN ISLANDS" "2019" 5.9 31 20830 NA 7098 NA NA 472 503
161 "CHILE" "2010" 2.1 769 151163 4126 72132 26.9 39.8 2032 2801
162 "CHILE" "2011" 2 702 156605 4778 76560 27.2 42.8 2435 3137
163 "CHILE" "2012" 1.9 651 175613 4890 82088 28.3 42.6 2904 3554
164 "CHILE" "2013" 2 624 186455 5576 88150 27.9 42.2 2952 3576
165 "CHILE" "2014" 1.95 666 201536 6027 95280 27.96 41.88 3009 3674
166 "CHILE" "2015" 1.91 692 208450 6497 100203 23.88 41.01 3786 4478
167 "CHILE" "2016" 1.9 814 223343 7010 105368 24 40.2 4827 5641
168 "CHILE" "2017" 2.04 636 229770 7327 112255 27.03 40.26 5814 6450
169 "CHILE" "2018" 2.03 554 251898 8039 120487 25.58 39.79 5169 5723
170 "CHILE" "2019" 2.01 488 266835 8565 125252 23.98 37.55 4030 4518
171 "CHINA" "2010" 2.73 6197 2981227 13991 1709966 NA 60.27 19930 26127
172 "CHINA" "2011" 2.77 6326 2586400 11676 1474900 NA 61 20785 27111
173 "CHINA" "2012" 2.84 6280 2677400 11367 1497200 NA 59.46 20911 27191
174 "CHINA" "2013" 2.71 6194 2705013 11687 1539141 NA 55.97 20096 26290
175 "CHINA" "2014" NA 5396 2624815 11180 1497899 NA 54 20965 26361
176 "CHINA" "2015" NA 5377 2593585 10550 1462454 NA 54.19 20608 25985
177 "CHINA" "2016" NA 5797 2482841 9861 1420489 NA 54.73 25687 31484
178 "CHINA" "2017" NA 5697 2505595 9566 1470606 NA NA 37246 42943
179 "CHINA" "2018" NA 6147 2318834 8962 1365170 NA NA 41804 47951
180 "CHINA" "2019" NA 6285 2077800 8920 1203800 NA 55.18 42829 49114
181 "COLOMBIA" "2010" NA 158 209626 5778 NA NA 50.42 1059 1217
182 "COLOMBIA" "2011" NA 207 225064 5662 139670 NA 51.97 1264 1471
183 "COLOMBIA" "2012" NA 240 277930 7228 159701 NA 53.78 1126 1365
184 "COLOMBIA" "2013" NA 302 301138 7409 175779 NA 52.7 1186 1487
185 "COLOMBIA" "2014" NA 429 326264 8805 198870 NA 52.46 1266 1695
186 "COLOMBIA" "2015" NA 438 365520 9945 222722 NA 53.23 1547 1985
187 "COLOMBIA" "2016" NA 438 386213 11140 234907 NA 55.73 1803 2241
188 "COLOMBIA" "2017" NA 448 409072 13008 252155 NA 56 2018 2466
189 "COLOMBIA" "2018" NA 459 438889 15530 269763 NA 56.7 2250 2709
190 "COLOMBIA" "2019" NA 460 534157 21447 309896 NA 57.66 2354 2814
191 "COSTA RICA" "2010" 10.6 271 NA 2468 43715 NA 59.8 1829 2100
192 "COSTA RICA" "2011" 11 302 NA 2476 44307 NA 63.4 1890 2192
193 "COSTA RICA" "2012" 11.6 306 NA 2484 45531 NA 54.3 2037 2343
194 "COSTA RICA" "2013" 11.6 287 NA 2450 45928 NA 48.7 2141 2428
195 "COSTA RICA" "2014" 12.4 347 NA 2421 46523 NA 54.7 2180 2527
196 "COSTA RICA" "2015" 11.3 419 NA 2538 48587 NA 54.7 2241 2660
197 "COSTA RICA" "2016" 12.1 295 NA 2582 49173 NA 61.4 2631 2925
198 "COSTA RICA" "2017" 11.9 245 NA 2771 48238 NA 67 2715 2960
199 "COSTA RICA" "2018" 11.7 285 NA 2884 49562 NA 67.4 2731 3017
200 "COSTA RICA" "2019" 12.56 161 NA 2890 50264 NA 66.9 2978 3139
201 "COTE D´IVOIRE" "2010" 3 101 46510 1788 23141 NA 51.95 151 252
202 "COTE D´IVOIRE" "2011" 3 107 46510 1788 23141 NA 53.33 163 270
203 "COTE D´IVOIRE" "2012" 3 116 46510 1788 23141 NA 57.5 174 289
204 "COTE D´IVOIRE" "2013" 3 152 54862 1890 27431 NA 65 228 380
205 "COTE D´IVOIRE" "2014" 3 198 56000 2000 28000 NA 69.4 273 471
206 "COTE D´IVOIRE" "2015" 4 605 68000 2041 34000 NA 70 836 1441
207 "COTE D´IVOIRE" "2016" 4 570 76000 2384 38000 NA 60.23 1013 1583
208 "COTE D´IVOIRE" "2017" 3 774 78060 2531 39030 NA 54.55 1026 1800
209 "COTE D´IVOIRE" "2018" 3 842 81496 2610 40748 NA 58.67 1123 1965
210 "COTE D´IVOIRE" "2019" 3 886 99072 3320 49536 NA 60.27 1185 2070
211 "CROATIA" "2010" 3.98 NA 151681 841 73333 34.9 NA NA NA
212 "CROATIA" "2011" 3.89 NA 154733 857 74616 35.87 NA NA NA
213 "CROATIA" "2012" 3.91 NA 156792 878 75363 37.28 NA NA NA
214 "CROATIA" "2013" 3.79 NA 161957 898 77157 35.7 35.3 NA NA
215 "CROATIA" "2014" 3.63 NA 161875 909 77312 35.5 36.1 NA NA
216 "CROATIA" "2015" 3.58 NA 164675 938 78431 36.9 37.5 NA NA
217 "CROATIA" "2016" 3.59 NA 167380 1011 79962 38.1 37.5 NA NA
218 "CROATIA" "2017" 3.49 NA 166485 1037 79984 40.4 40.2 NA NA
219 "CROATIA" "2018" 3.39 NA 169108 1065 81223 41.1 41.3 NA NA
220 "CROATIA" "2019" 3.27 NA 171005 1089 82038 41.5 41.7 NA NA
221 "CUBA" "2010" NA 12 103166 452 58327 NA 52.3 2495 2507
222 "CUBA" "2011" NA 16 103224 450 58959 NA 53.2 2672 2688
223 "CUBA" "2012" NA 17 106118 370 55439 NA 54.4 2806 2823
224 "CUBA" "2013" NA 15 111043 356 55752 NA 54.6 2824 2839
225 "CUBA" "2014" NA 14 111712 349 55535 NA 57.1 2966 2981
226 "CUBA" "2015" NA 19 111419 358 55640 NA 58.4 3488 3506
227 "CUBA" "2016" NA 23 111323 368 56063 NA 60.7 3952 3975
228 "CUBA" "2017" NA 31 108662 350 60744 NA 56.9 4563 4594
229 "CUBA" "2018" NA 15 104757 358 70204 NA 49.5 4669 4684
230 "CUBA" "2019" NA 25 104962 406 78833 NA 48.2 4238 4263
231 "CYPRUS" "2010" 5.68 150 85318 828 42040 59.5 59.87 2023 2173
232 "CYPRUS" "2011" 5.72 161 84566 814 41729 62.6 62.43 2231 2392
233 "CYPRUS" "2012" 5.76 125 84194 799 41529 64.5 64 2245 2370
234 "CYPRUS" "2013" 5.88 100 84552 790 41708 63 61.5 2263 2363
235 "CYPRUS" "2014" 5.78 115 84871 791 41849 61.6 62.7 2326 2441
236 "CYPRUS" "2015" 5.78 137 83395 778 41173 62.6 63.02 2522 2659
237 "CYPRUS" "2016" 5.62 177 83104 780 41012 71.3 69.9 3010 3187
238 "CYPRUS" "2017" 5.7 213 84565 789 41678 76.4 72.9 3439 3652
239 "CYPRUS" "2018" 5.4 238 85927 793 42196 74.4 71.2 3701 3939
240 "CYPRUS" "2019" 5.42 249 89375 813 43888 71.8 68.6 3728 3977
241 "CZECH REPUBLIC (CZECHIA)" "2010" 2.69 NA 255882 4300 113417 34.62 40.46 NA NA
242 "CZECH REPUBLIC (CZECHIA)" "2011" 2.96 NA 261858 4612 115795 35.89 42.32 NA NA
243 "CZECH REPUBLIC (CZECHIA)" "2012" 2.53 NA 319692 6350 137701 34.8 38.58 NA NA
244 "CZECH REPUBLIC (CZECHIA)" "2013" 2.54 NA 317875 6301 137257 34.76 41.3 NA NA
245 "CZECH REPUBLIC (CZECHIA)" "2014" 2.52 NA 306430 5833 132520 35.17 44.69 NA NA
246 "CZECH REPUBLIC (CZECHIA)" "2015" 2.61 NA 314210 5992 136026 36.19 42.96 NA NA
247 "CZECH REPUBLIC (CZECHIA)" "2016" 2.55 NA 317756 6022 137092 46.5 46.43 NA NA
248 "CZECH REPUBLIC (CZECHIA)" "2017" 2.43 NA 317361 5967 137318 49.87 49.82 NA NA
249 "CZECH REPUBLIC (CZECHIA)" "2018" 2.61 NA 327572 6277 141450 49.98 50.07 NA NA
250 "CZECH REPUBLIC (CZECHIA)" "2019" 2.59 NA 328501 6236 141110 49.66 49.75 NA NA
251 "DENMARK" "2010" NA 1099 80471 479 40253 39 51 25631 26730
252 "DENMARK" "2011" NA 734 85315 515 42351 40 53 25078 25812
253 "DENMARK" "2012" NA 771 86619 511 42808 40 54 25632 26403
254 "DENMARK" "2013" NA 789 76458 511 43032 42 55 25727 26516
255 "DENMARK" "2014" NA 1104 87870 523 43715 44 57 26966 28070
256 "DENMARK" "2015" NA 1171 87447 518 43853 47 61 27038 28209
257 "DENMARK" "2016" NA 1124 89423 529 44819 48 62 27568 28692
258 "DENMARK" "2017" NA 1471 92784 552 46302 48 62 29265 30736
259 "DENMARK" "2018" NA 1535 95253 556 47541 48 62 29265 30801
260 "DENMARK" "2019" NA 1526 102742 570 50824 48 62 30575 32101
261 "DOMINICAN REPUBLIC" "2010" 9.22 166 200904 714 66968 NA 66.6 3959 4125
262 "DOMINICAN REPUBLIC" "2011" 8.91 159 200370 690 66790 NA 69.3 4147 4306
263 "DOMINICAN REPUBLIC" "2012" 8.52 150 198162 690 66054 NA 70.3 4413 4563
264 "DOMINICAN REPUBLIC" "2013" 8.46 155 205626 697 68542 NA 71.7 4535 4690
265 "DOMINICAN REPUBLIC" "2014" 8.37 134 208821 697 69607 NA 74.8 5007 5141
266 "DOMINICAN REPUBLIC" "2015" 8.32 115 210090 724 70030 NA 75.5 5485 5600
267 "DOMINICAN REPUBLIC" "2016" 8.54 116 225615 751 75937 NA 78 5844 5959
268 "DOMINICAN REPUBLIC" "2017" 8.61 107 231777 762 77201 NA 77.1 6081 6188
269 "DOMINICAN REPUBLIC" "2018" 8.37 135 241578 876 83526 NA 77.5 6434 6569
270 "DOMINICAN REPUBLIC" "2019" 8.52 123 244228 887 85694 NA 71.6 6324 6446
271 "ECUADOR" "2010" NA 259 130865 2709 59190 NA NA 788 1047
272 "ECUADOR" "2011" NA 283 137780 2925 61524 NA NA 858 1141
273 "ECUADOR" "2012" NA 256 146480 3166 64653 NA NA 1016 1272
274 "ECUADOR" "2013" NA 169 157591 3423 69628 NA NA 1195 1364
275 "ECUADOR" "2014" NA 69 163469 3750 72958 NA NA 1626 1695
276 "ECUADOR" "2015" NA 66 175357 4058 77757 NA NA 1610 1676
277 "ECUADOR" "2016" NA 113 165263 3681 72013 NA NA 1456 1569
278 "ECUADOR" "2017" NA 241 169967 3639 74034 NA NA 1565 1806
279 "ECUADOR" "2018" NA 278 180617 4130 80626 NA NA 2258 2535
280 "ECUADOR" "2019" NA 311 183236 4191 82484 NA NA 1796 2108
281 "EGYPT" "2010" 10 126 451184 1473 225592 NA 70 13924 14050
282 "EGYPT" "2011" 11.6 86 418222 1319 209111 NA 45 9411 9497
283 "EGYPT" "2012" 12 101 412108 1267 206054 NA 40 11095 11196
284 "EGYPT" "2013" 10 149 399478 1219 199739 NA 30.6 9025 9174
285 "EGYPT" "2014" 10 144 399506 1261 199753 NA 30.9 9484 9628
286 "EGYPT" "2015" 9 82 412108 1267 206054 NA 31 9057 9139
287 "EGYPT" "2016" 6.1 47 405636 1239 202818 NA 31 5211 5258
288 "EGYPT" "2017" 7.78 73 423356 1244 211678 NA 51.2 8083 8157
289 "EGYPT" "2018" 11.62 101 414774 1243 207387 NA 55.7 11095 11196
290 "EGYPT" "2019" 10.46 116 404862 1205 202431 NA 62.2 12760 12876
291 "EL SALVADOR" "2010" 5.8 165 14061 394 8298 63.78 NA 985 1150
292 "EL SALVADOR" "2011" 5.4 143 14286 402 8373 65.33 NA 1041 1184
293 "EL SALVADOR" "2012" 6 155 15862 408 8805 66.3 NA 1100 1255
294 "EL SALVADOR" "2013" 6.5 146 15862 408 8805 69.73 NA 1136 1283
295 "EL SALVADOR" "2014" 7.1 158 16660 465 9261 65.06 NA 1188 1345
296 "EL SALVADOR" "2015" 6.8 165 16660 465 9261 65.67 NA 1236 1402
297 "EL SALVADOR" "2016" 6.2 202 16660 465 9261 62 NA 1231 1434
298 "EL SALVADOR" "2017" 6.2 137 16740 578 9518 63 NA 1419 1556
299 "EL SALVADOR" "2018" 7.5 153 16740 578 9518 61 NA 1525 1677
300 "EL SALVADOR" "2019" 8.8 112 16740 578 9518 58 NA 1653 1766
301 "ESTONIA" "2010" 1.92 NA 30324 375 14719 36.39 43.21 NA NA
302 "ESTONIA" "2011" 1.94 NA 31349 374 15132 40.16 46.91 NA NA
303 "ESTONIA" "2012" 1.9 NA 31590 390 15088 45.12 51.88 NA NA
304 "ESTONIA" "2013" 1.86 NA 31989 404 15321 44.86 51.76 NA NA
305 "ESTONIA" "2014" 1.82 NA 32437 410 15624 43.94 51.18 NA NA
306 "ESTONIA" "2015" 1.79 NA 32620 414 15474 44.49 52.48 NA NA
307 "ESTONIA" "2016" 1.79 NA 32404 413 15535 47.2 54.23 NA NA
308 "ESTONIA" "2017" 1.77 NA 34147 424 16208 47.66 54.99 NA NA
309 "ESTONIA" "2018" 1.77 NA 34108 418 16084 47.4 55.98 NA NA
310 "ESTONIA" "2019" 1.77 NA 35909 450 17017 48 56 NA NA
311 "FINLAND" "2010" 1.79 1481 119395 841 54903 38.8 49.9 4701 6182
312 "FINLAND" "2011" 1.77 1656 122182 830 55892 39.8 51.4 5604 7260
313 "FINLAND" "2012" 1.77 1776 123979 839 57009 40.03 51.29 5860 7636
314 "FINLAND" "2013" 1.76 NA 123655 828 56566 38.97 50.03 NA NA
315 "FINLAND" "2014" 1.75 NA 123305 785 56688 38.25 50.28 NA NA
316 "FINLAND" "2015" 1.74 NA 122855 777 56723 38.92 51.13 NA NA
317 "FINLAND" "2016" 1.73 NA 124333 772 56982 40.25 52.9 NA NA
318 "FINLAND" "2017" 1.74 NA 129487 787 59104 41.5 54.76 NA NA
319 "FINLAND" "2018" 1.74 NA 132740 788 59882 41.14 54.28 NA NA
320 "FINLAND" "2019" 1.74 NA 133515 794 60444 41.99 55.04 NA NA
321 "FRANCE" "2010" 1.82 9703 1223218 17070 611609 NA 59.38 66944 76647
322 "FRANCE" "2011" 1.82 11120 1229368 17000 614684 NA 60.99 69378 80499
323 "FRANCE" "2012" 1.82 10179 1238644 17171 619322 NA 60.26 71801 81980
324 "FRANCE" "2013" 1.81 10179 1277774 17370 638887 NA 59.63 73455 83634
